word,sense,pos,ipa,lemma,syllabification,etymology,definitions,url,sinonimos,traducoes,rimas,vizinhas,parecidas,relacionadas,pesquisa
acerto,adjust,VERB,ɐˈsɛɾtu,acertar,a.cer.to,Derivação regressiva de acertar,"descobrir; atingir (objeto, alvo); ajustar | endireitar; fazer ficar certo (relógio, instrumento de precisão); ser bem-sucedido em; atinar com; sair-se bem de alguma tentativa; adivinhar; dar no alvo; apanhar | prender",https://www.infopedia.pt/dicionarios/lingua-portuguesa/acerto,acaso | ajustamento | ajuste,,café-concerto | certo | concerto,,aberto | aceito | acento,,acertadamente | acertado | acertamento
acerto,settlement,NOUN,ɐˈseɾtu,,a.cer.to,Derivação regressiva de acertar,ato ou efeito de acertar; ajuste; prudência; sorte,https://www.infopedia.pt/dicionarios/lingua-portuguesa/acerto,acaso | ajustamento | ajuste,,café-concerto | certo | concerto,,aberto | aceito | acento,,acertadamente | acertado | acertamento
acordo,agreement,NOUN,ɐˈkoɾdu,,a.cor.do,Derivação regressiva de acordar,ato ou efeito de acordar; consonância; concordância; convenção; encontro ou convergência das manifestações das vontades das partes num contrato; forma de pôr termo a um litígio judicial mediante a aceitação recíproca de uma solução para o mesmo; perfeito uso dos sentidos; tino,https://www.infopedia.pt/dicionarios/lingua-portuguesa/acordo,ajustamento | ajuste | anuência,,cordo | decacordo | descordo,acordeonista | açor-de-peito-raiado | açor-de-peito-ruivo,abordo | acorde | acorro,,acordante | acordo-tipo | ajustado
acordo,wake,VERB,ɐˈkɔɾdu,acordar,a.cor.do,Derivação regressiva de acordar,"suscitar (emoção, reação); pôr em acorde (vozes, instrumentos); concertar | ajustar; lavrar por acórdão (sentença); conceder | outorgar; resolver (-se) | decidir (-se); lembrar (-se) | recordar (-se)",https://www.infopedia.pt/dicionarios/lingua-portuguesa/acordo,ajustamento | ajuste | anuência,,cordo | decacordo | descordo,acordeonista | açor-de-peito-raiado | açor-de-peito-ruivo,abordo | acorde | acorro,,acordante | acordo-tipo | ajustado
cerro,hill,NOUN,ˈseʁu,,cer.ro,"Do latim cirru-, «penacho»",pequena elevação de terreno; carne do lombo do porco junto ao couro,https://www.infopedia.pt/dicionarios/lingua-portuguesa/cerro,cômoro | mamelão | montículo,,,,berro | carro | cedro,,cerro-do-gato | cerrote | colibri-do-cerro-de-arcos
cerro,shut,VERB,ˈsɛʁu,cerrar,cer.ro,"Do latim cirru-, «penacho»",fechar; vedar; unir fortemente; terminar; ocultar; pelejar com; fechar-se; unir-se; cobrir-se de nuvens; cicatrizar; concluir-se,https://www.infopedia.pt/dicionarios/lingua-portuguesa/cerro,cômoro | mamelão | montículo,,,,berro | carro | cedro,,cerro-do-gato | cerrote | colibri-do-cerro-de-arcos
choro,weep,VERB,ˈʃɔɾu,chorar,cho.ro,Derivação regressiva de chorar,verter lágrimas por; deplorar; sentir remorsos de; destilar; verter lágrimas; afligir-se,https://www.infopedia.pt/dicionarios/lingua-portuguesa/choro,berreiro | carpido | chorinco,,,,charo | choco | cholo,,ai-ai | berreiro | cabo de choro
choro,weeping,NOUN,ˈʃoɾu,,cho.ro,Derivação regressiva de chorar,"ato de chorar, de verter lágrimas em reação a dor ou a emoção forte e que pode ser acompanhado de soluços, gritos, lamentos, etc.; lamentação; gemido, uivo ou som lastimoso feito por alguns animais; som plangente ou melancólico de certos instrumentos musicais; saída da seiva bruta pelas superfícies cortadas nas plantas; género de música popular brasileira, de carácter melodioso e sentimental, executado por um conjunto instrumental composto por bandolim, violão, cavaquinho, pandeiro e outros instrumentos, habitual em bailes familiares e festas populares; cerimónia fúnebre em que se homenageia um morto, geralmente acompanhada por música e cânticos",https://www.infopedia.pt/dicionarios/lingua-portuguesa/choro,berreiro | carpido | chorinco,,,,charo | choco | cholo,,ai-ai | berreiro | cabo de choro
colher,harvest,VERB,kuˈʎeɾ,colher,co.lher,"Do latim cochleāre-, «colher», pelo francês cuillère, «idem»","tirar da planta (frutos, flores ou folhas); receber; atropelar; atingir; tomar; surpreender; coligir; inferir",https://www.infopedia.pt/dicionarios/lingua-portuguesa/colher,,,,colhedor | colheira | colheita,,,acolherar | aduchar | apanhadiço
colher,spoon,NOUN,kuˈʎɛɾ,,co.lher,"Do latim cochleāre-, «colher», pelo francês cuillère, «idem»","utensílio de uso doméstico, constituído por um cabo e uma parte arredondada e côncava, que serve para tirar ou levar à boca substâncias líquidas ou pouco consistentes, ou para mexer, misturar ou servir certas iguarias; conteúdo daquele utensílio de uso doméstico; utensílio com cabo e rede em concha, usado para pescar; designação extensiva a diversos utensílios com formato semelhante; pequeno pássaro de cauda comprida, mais longa que o corpo ligeiro e arredondado, apresenta plumagem preta ou acinzentada, com lista escura do bico à nuca, sendo também conhecido por foguete, rabilongo, rabo-de-foguete, etc.; antigo imposto sobre géneros",https://www.infopedia.pt/dicionarios/lingua-portuguesa/colher,,,,colhedor | colheira | colheita,,,acolherar | aduchar | apanhadiço
